fname,lname
None,None
Jim,Butcher
Clive,Cussler
Craig,Johnson
David,Baldacci
Elizabeth,Peters
Ernest,Cline
Frank,Herbert
Anne,Rice
Ashwin,Sanghi
Brad,Meltzer
Michael,Ledwidge
Michael,White
Neal,Stephenson
Robert,Jordan
Robert,Ludlum
Stephanie,Meyer
J.R.R.,Tolkien
James,Patterson
James Lee,Burke
Marshall,Karp
Maxine,Paetro
William,Gibson
Stephen R.,Donaldson
Tom,Clancy
Kathy,Reichs
Kevin J.,Anderson
Lee,Child
Mark,Pearson
Mark,Sullivan
Andrew,Gross
Brandon,Sanderson
Brian,Herbert
J.K.,Rowling
John,Sandford
